KEY,English,Dutch
AC_FIRSTNAMES_BOY,"Adam,Albert,Alex,Alexander,Alfie,Andrew,Arthur,Benjamin,Biff,Bilbo,Billy,Bob,Boris,Casper,Charles,Charlie,Chris,Colin,Crispin,Daniel,Danny,David,Dean,Dennis,Dewey,Dex,Don,Donald,Donny,Dimitri,Douglas,Dylan,Eric,Ernie,Ernest,Fabrizio,Fedde,Finn,Floris,Frank,Fred,George,Gerard,Gus,Harry,Hans,Huey,Hugo,Jack,James,Jason,Jasper,Jayden,Jesse,Jimmy,John,Josh,Julian,Kevin,Lars,Lee,Levi,Liam,Lionel,Louis,Luca,Lucas,Marc,Marty,Mason,Matthew,Max,Merrin,Michael,Mike,Mohamed,Morris,Nathan,Neville,Niall,Nick,Noah,Oliver,Ollie,Paul,Peppin,Percy,Peter,Quint,Rens,Roan,Robert,Ron,Ruben,Ryan,Rense,Sam,Samuel,Seamus,Stan,Stephan,Steve,Stewie,Sven,Ted,Terry,Theo,Thomas,Tim,Tobias,Tom,Victor,Vince,Vincent,William,Walter,Zayn","Adam,Alex,Alexander,Bas,Benjamin,Berend,Boaz,Bob,Bram,Cas,Casper,Daan,Dani,Daniël,David,Dean,Derk,Dex,Dimitri,Dylan,Fabrizio,Fedde,Finn,Floris,Fred,Gerard,Gijs,Guus,Hugo,Jack,James,Jan,Jason,Jasper,Jayden,Jens,Jeroen,Jesse,Joep,Joop,Jorik,Julian,Jurre,Kamiel,Kevin,Koen,Lars,Levi,Liam,Lionel,Luca,Lucas,Lukas,Luuk,Maarten,Marc,Mark,Mason,Mats,Max,Mees,Michel,Michiel,Mick,Milan,Mohamed,Morris,Nathan,Niek,Niels,Noah,Naud,Nick,Noud,Olivier,Paul,Pepijn,Peter,Pim,Quint,Rense,Roan,Robert,Ron,Ruben,Ryan,Sam,Samuel,Sander,Sem,Senn,Siem,Stefan,Stijn,Sven,Teun,Thijmen,Thijs,Thomas,Tiebe,Ties,Tijmen,Tijn,Tim,Tobias,Tom,Tygo,Vince,Vincent,Willem,Wouter,Yorick"
AC_FIRSTNAMES_GIRL,"Alice,Alicia,Amanda,Amber,Amy,Angelina,Anna,Anne,Ariana,Audrey,Betty,Bianca,Bo,Bridget,Britt,Charlotte,Clara,Daisy,Danielle,Danique,Demi,Dolores,Dory,Elizabeth,Ellen,Elsa,Emily,Emma,Emmy,Eva,Fay,Feline,Ginny,Hannah,Helga,Hermione,Indy,Iris,Isa,Isabel,Isabella,Isabelle,Jane,Jasmine,Jennifer,Jenny,Jessica,Jill,Joan,Johanna,Julia,Julianne,Julie,Karen,Kate,Katie,Keira,Kristen,Lana,Lara,Laura,Lily,Lina,Linda,Lisa,Liv,Liz,Lizzy,Lois,Lorraine,Lucy,Luna,Lynn,Marjorie,Marilyn,Mary,Megan,Meryl,Michelle,Mila,Molly,Naomi,Natalie,Nikki,Nina,Noa,Nora,Nova,Olivia,Patty,Penelope,Petunia,Poppy,Quinty,Rachel,Rita,Robin,Romy,Rose,Roxanne,Roxy,Samantha,Sandra,Sara,Sarah,Scarlett,Selma,Sophia,Sophie,Stefanie,Stephanie,Susan,Tess,Tessa,Vanessa,Vera,Vesper,Wilma,Yara,Zoe","Amber,Amy,Anna,Anne,Anouk,Bente,Benthe,Besma,Bo,Britt,Charlotte,Danique,Demi,Eline,Elise,Ellen,Emily,Emma,Esmee,Eva,Evi,Evy,Fay,Feline,Femke,Fenna,Fenne,Fiene,Fleur,Floor,Guusje,Hannah,Ilse,Indy,Iris,Isa,Isabel,Isabella,Isabelle,Isis,Jasmijn,Jill,Joan,Johanna,Julie,Juul,Julia,Lara,Laura,Lieke,Lina,Linde,Lisa,Liv,Liz,Lizzy,Loïs,Lotte,Lucy,Luna,Lynn,Madelief,Maud,Maria,Marijn,Marit,Meike,Merel,Mila,Milou,Mirthe,Myrthe,Naomi,Nanda,Nienke,Nikki,Nina,Noa,Noor,Noortje,Nora,Nova,Olivia,Puck,Quinty,Robin,Romy,Roos,Rosalie,Saar,Sanne,Sanneke,Sara,Sarah,Senna,Sofie,Sophie,Stefanie,Stephanie,Sterre,Suzan,Suze,Tess,Tessa,Vanessa,Veerle,Vera,Vesper,Vibeke,Yara,Yfke,Zoë"
AC_LABEL_AREYOUSURE,Are you sure you want to continue?,Weet je zeker dat je wilt doorgaan?
AC_CUSTOMISEWINDOW_TITLE,Complete your avatar,Stel je avatar samen
AC_NAMEWINDOW_TITLE,Pick a name for your avatar,Kies een naam voor je avatar
AC_LASTNAME1,"Duck,Quack,Squeek,Mouse,Penny,Gobble,Bark,Blabla,Beak,Goof,Flabber,Blubber,Silly,Duff,Tough,Cool,Creep,Sly,Cunning,Roar,Hen,Drake,Rooster,Swan,Egg,Peep,Peeper,Sprout,Crook,Bolder,Money","Blaf,Blauw,Bloem,Bolder,Brul,Donder,Eend,Gans,Geel,Gluip,Griebel,Groen,Grut,Hoen,Kolder,Kwaak,Kwaeck,Kwek,Muis,Raven,Rood,Schurk,Snater,Stoer,Wit,Woerd,Zwaan,Zwart"
AC_LASTNAME2,",son,man,ton,worth,by,wright,berry,ham,burg,croft,ly",",bast,blaat,boer,horst,hoven,kwast,mans,steen,stein,ster,stra"
AC_STREETNAMES,"Quackquarter,Duckstreet,Cornelius Coot Avenue,Bacon Snout Alley,Badluck Boulevard,Sneezy Fields,Duckburg Drive,Money Meadows,Feather Lane,Ye Olde Beake,Peeper’s Place,Peacock Gardens,Slumber Hills,Gearloose Road,Goofy Park","Struifstraat,Carl Barks Allée,Snavelsteeg,Hobbelerpad,Duckstadse Dreef,Snaterse Kade,Waterhoenplein,De Hoentjes,Hoenderbaan,Eiweg,Vederplein,Gansdorpse Weg,Dingodijk,Woerdenwijk,Leipenlaan,Prulplein,Gruttogracht,Hondenhof,Bulderboulevard,Speksnuitsteeg,Pechweg,Hoenplantsoen,Zwaanlaan,Cornelis Prul Boulevard,Snaterlaan,Kwaaklaan"
ACH_DESCRIPTION_001,Meet {0} Duckburg characters.,Ontmoet {0} inwoners van Duckstad.
ACH_DESCRIPTION_002,Meet {0} Duckburg characters.,Ontmoet {0} inwoners van Duckstad.
ACH_DESCRIPTION_003,Visit Duckburg {0} times.,Bezoek Duckstad {0} keer.
ACH_DESCRIPTION_004,Visit Duckburg {0} times.,Bezoek Duckstad {0} keer.
ACH_DESCRIPTION_005,Complete all levels of Money Dive.,Speel alle levels van Duitenduiker uit.
ACH_DESCRIPTION_006,Complete all levels of Higher Than.,Speel alle levels van Groter dan uit.
ACH_DESCRIPTION_007,Complete all levels of Hangman.,Speel alle levels van Woordendief uit.
ACH_DESCRIPTION_008,Complete all levels of Translate This.,Speel alle levels van Word thief uit.
ACH_DESCRIPTION_009,Finish first place in all levels of Kart Racing.,Eindig op de eerste plek in alle levels van Zeepkistenrace.
ACH_DESCRIPTION_010,Finish first place in Kart Racing {0} times.,Eindig {0} keer op de eerste plek in Zeepkistenrace.
ACH_DESCRIPTION_011,Finish first place in Kart Racing {0} times.,Eindig {0} keer op de eerste plek in Zeepkistenrace.
ACH_DESCRIPTION_012,Customize your kart.,Verbouw je zeepkist.
ACH_DESCRIPTION_013,Own {0} karts in your garage.,Zorg dat je {0} zeepkisten in je garage hebt staan.
ACH_DESCRIPTION_014,Change your outfit.,Trek eens andere kleren aan.
ACH_DESCRIPTION_015,Purchase {0} different items in the Fashion Store.,Koop {0} verschillende kledingstukken in de B-Cool modewinkel.
