KEY,English,Dutch
01:00,1 o'clock,1 uur
01:01,1 minute past 1,1 over 1
01:02,2 minutes past 1,2 over 1
01:03,3 minutes past 1,3 over 1
01:04,4 minutes past 1,4 over 1
01:05,5 past 1,5 over 1
01:06,6 minutes past 1,6 over 1
01:07,7 minutes past 1,7 over 1
01:08,8 minutes past 1,8 over 1
01:09,9 minutes past 1,9 over 1
01:10,10 past 1,10 over 1
01:11,11 minutes past 1,11 over 1
01:12,12 minutes past 1,12 over 1
01:13,13 minutes past 1,13 over 1
01:14,14 minutes past 1,14 over 1
01:15,Quarter past 1,Kwart over 1
01:16,16 minutes past 1,16 over 1
01:17,17 minutes past 1,17 over 1
01:18,18 minutes past 1,18 over 1
01:19,19 minutes past 1,19 over 1
01:20,20 past 1,10 voor half 2
01:21,21 minutes past 1,9 voor half 2
01:22,22 minutes past 1,8 voor half 2
01:23,23 minutes past 1,7 voor half 2
01:24,24 minutes past 1,6 voor half 2
01:25,25 past 1,5 voor half 2
01:26,26 minutes past 1,4 voor half 2
01:27,27 minutes past 1,3 voor half 2
01:28,28 minutes past 1,2 voor half 2
01:29,29 minutes past 1,1 voor half 2
01:30,Half past 1,Half 2
01:31,29 minutes to 2,1 over half 2
01:32,28 minutes to 2,2 over half 2
01:33,27 minutes to 2,3 over half 2
01:34,26 minutes to 2,4 over half 2
01:35,25 to 2,5 over half 2
01:36,24 minutes to 2,6 over half 2
01:37,23 minutes to 2,7 over half 2
01:38,22 minutes to 2,8 over half 2
01:39,21 minutes to 2,9 over half 2
01:40,20 to 2,10 over half 2
01:41,19 minutes to 2,19 voor 2
01:42,18 minutes to 2,18 voor 2
01:43,17 minutes to 2,17 voor 2
01:44,16 minutes to 2,16 voor 2
01:45,Quarter to 2,Kwart voor 2
01:46,14 minutes to 2,14 voor 2
01:47,13 minutes to 2,13 voor 2
01:48,12 minutes to 2,12 voor 2
01:49,11 minutes to 2,11 voor 2
01:50,10 to 2,10 voor 2
01:51,9 minutes to 2,9 voor 2
01:52,8 minutes to 2,8 voor 2
01:53,7 minutes to 2,7 voor 2
01:54,6 minutes to 2,6 voor 2
01:55,5 to 2,5 voor 2
01:56,4 minutes to 2,4 voor 2
01:57,3 minutes to 2,3 voor 2
01:58,2 minutes to 2,2 voor 2
01:59,1 minute to 2,1 voor 2
02:00,2 o'clock,2 uur
02:01,1 minute past 2,1 over 2
02:02,2 minutes past 2,2 over 2
02:03,3 minutes past 2,3 over 2
02:04,4 minutes past 2,4 over 2
02:05,5 past 2,5 over 2
02:06,6 minutes past 2,6 over 2
02:07,7 minutes past 2,7 over 2
02:08,8 minutes past 2,8 over 2
02:09,9 minutes past 2,9 over 2
02:10,10 past 2,10 over 2
02:11,11 minutes past 2,11 over 2
02:12,12 minutes past 2,12 over 2
02:13,13 minutes past 2,13 over 2
02:14,14 minutes past 2,14 over 2
02:15,Quarter past 2,Kwart over 2
02:16,16 minutes past 2,16 over 2
