1;How many toes does an ostrich have on each leg?;2;3;4;5
2;How many legs does a butterfly have?;6;4;2;8
3;How many legs does a crab have?;10;6;8;12
4;How many Javan rhinoceros are living in the wild?;50;None;500;5000
5;A flea can jump a height of ... times its own body length.;350;25;100;600
6;How many barbs does a mature hedgehog have?;5000;2500;3500;1000
7;How long can the world's longest species of worm get?;6.7 meters;3,8 meters;5,4 meters;1,2 meters
8;How many times its own body weight can an ant lift?;60 times;20 times ;50 times;100 times
9;How long can a saltwater crocodile grow?;8 meters;6 meters;10 meters ;12 meters
10;How many kilograms of excrement does an adult elephant produce every day?;100 kilograms;1 kilogram;500 kilograms ;5,000 kilograms
11;How many liters can a cow's rumen hold?;120 liters;50 liters;80 liters;150 liters
12;How long does a giraffe sleep each day?;15 minutes;3 hours;8 hours;16 hours
13;How many hours of sleep does a leopard need each day?;20 hours;24 hours;18 hours;16 hours
14;How heavy is a giraffe's heart?;12 kilograms;5 kilograms;1 kilogram;20 kilograms
15;How many hours of sleep does a tiger need each day?;16 hours;8 hours;3 hours;20 hours
16;How many hours of sleep does an elephant need each day?;4 hours;8 hours;16 hours;20 hours
17;How far can the bar-tailed godwit fly without stopping?;11,000 kilometers;5,700 kilometers;2,500 kilometers;20,000 kilometers
18;How long is a giraffe's tongue?;40 centimeters;60 centimeters;10 centimeters;25 centimeters
19;How long can an anaconda survive without food?;A few months;A few days;A few years;It does not need any food
20;How long can a snail hibernate?;3 years;3 days;3 weeks;3 months
21;How fast can a cockroach run?;6.5 kph;4.5 kph;5.5 kph;3.5 kph
22;How many species of sharks are there?;400;4000;40000;4 million
23;How many species of spiders are there?;40000;4000;400;4 million
24;How strong is an electric eel's shock attack?;500 volts; 100 volts; 250 volts;1,000 volts
25;How far can a human flea jump?;30 centimeters;100 centimeters ;10 centimeters;50 centimeters
26;"Which animal's Latin name is ""Canis Lupus Familiaris?""";Dog;Wolf;Bear;Monkey
27;"Which animal's Latin name is ""Formica Rufa?""";Ant;Seagull;Cow;Monkey
28;Busy as a ...;Ant;Mouse;Lizzie;Bee
29;Which bird goes on the longest migratory flight?;Arctic stern;Barn swallow;Nightingale;Bluethroat
30;Which animal's blood is blue?;Horseshoe crab;Eagle;Lion;Blue whale
31;You are hungry like a...;Horse;Elephant;Wale;Longhorn beetle
32;What is the natural environment of the kiwi (bird)?;New Zealand;South Africa;Australia;Borneo
33;What is another name for the eyes of a fly?;Compound eyes;Minipeepers;Stareholes;Foureyes
34;What is Africa's most endangered species of animal?;The gorilla;The chimpanzee;The bonobo;The gibbon
35;A common Suriname toad is...;Tongueless;A vegetarian;A land animal;Deaf
36;How can you tell what color eggs a chicken will lay?;From its earlobes;From its tail;From its eye color;From its feathers
37;How do herring communicate?;By farting;By kissing;By singing;By blowing bubbles
38;What is a drone?;A male bee;A queen bee;A female bee;A different name for honey
39;What is a scarab?;An insect;A crown;A bacteria;A scary bee
40;What is a weever?;A poisonous fish;A journalist;A louse;Sinterklaas's assistant
41;Which animal has ten hearts?;A worm;A millipede;A cow;A caterpillar
