ID;Questions;Country;Capital;Werelddeel;Asked
1;What is the capital of;Algeria;Algiers;Afrika;
2;What is the capital of;Angola;Luanda;Afrika;
3;What is the capital of;Benin;Porto-Novo;Afrika;
4;What is the capital of;Botswana;Gaborone;Afrika;
5;What is the capital of;Burkina Faso;Ouagadougou;Afrika;
6;What is the capital of;Burundi;Bujumbura;Afrika;
7;What is the capital of;The Central African Republic;Bangui;Afrika;
8;What is the capital of;The Comoros;Moroni;Afrika;
9;What is the capital of;The Republic of the Congo;Brazzaville;Afrika;
10;What is the capital of;The Democratic Republic of the Congo;Kinshasa;Afrika;
11;What is the capital of;Djibouti;Djibouti City;Afrika;
12;What is the capital of;Egypt;Cairo;Afrika;
13;What is the capital of;Equatorial Guinea;Malabo;Afrika;
14;What is the capital of;Eritrea;Asmara;Afrika;
15;What is the capital of;Ethiopia;Addis Abeba;Afrika;
16;What is the capital of;Gabon;Libreville;Afrika;
17;What is the capital of;Gambia;Banjul;Afrika;
18;What is the capital of;Ghana;Accra;Afrika;
19;What is the capital of;Guinea;Conakry;Afrika;
20;What is the capital of;Guinea-Bissau;Bissau;Afrika;
21;What is the capital of;Ivory Coast;Yamoussoukro;Afrika;
22;What is the capital of;Cape Verde;Praia;Afrika;
23;What is the capital of;Cameroon;Yaoundé;Afrika;
24;What is the capital of;Kenya;Nairobi;Afrika;
25;What is the capital of;Lesotho;Maseru;Afrika;
26;What is the capital of;Liberia;Monrovia;Afrika;true
27;What is the capital of;Libya;Tripoli;Afrika;
28;What is the capital of;Madagascar;Antananarivo;Afrika;
29;What is the capital of;Malawi;Lilongwe;Afrika;
30;What is the capital of;Mali;Bamako;Afrika;
31;What is the capital of;Morocco;Rabat;Afrika;
32;What is the capital of;Mauritania;Nouakchott;Afrika;
33;What is the capital of;Mauritius;Port Louis;Afrika;
34;What is the capital of;Mozambique;Maputo;Afrika;
35;What is the capital of;Namibia;Windhoek;Afrika;
36;What is the capital of;Niger;Niamey;Afrika;
37;What is the capital of;Nigeria;Abuja;Afrika;
38;What is the capital of;Uganda;Kampala;Afrika;
39;What is the capital of;Rwanda;Kigali;Afrika;
40;What is the capital of;São Tomé and Principe;São Tomé;Afrika;
41;What is the capital of;Senegal;Dakar;Afrika;
42;What is the capital of;The Seychelles;Victoria;Afrika;
43;What is the capital of;Sierra Leone;Freetown;Afrika;
44;What is the capital of;Sudan;Khartoum;Afrika;
45;What is the capital of;Somalia;Mogadishu;Afrika;
46;What is the capital of;Swaziland;Lobamba; Mbabane;Africa
47;What is the capital of;Tanzania;Dodoma;Afrika;
48;What is the capital of;Togo;Lomé;Afrika;
49;What is the capital of;Chad;N'Djamena;Afrika;
50;What is the capital of;Tunisia;Tunis;Afrika;
51;What is the capital of;Zambia;Lusaka;Afrika;
52;What is the capital of;Zimbabwe;Harare;Afrika;true
53;What is the capital of;South Africa;Pretoria;Afrika;
54;What is the capital of;South Sudan;Juba;Afrika;
55;What is the capital of;Afghanistan;Kabul;Azië;
56;What is the capital of;Armenia;Yerevan;Azië;
57;What is the capital of;Azerbaijan;Baku;Azië;
58;What is the capital of;Bahrain;Manama;Azië;
59;What is the capital of;Bangladesh;Dhaka;Azië;
60;What is the capital of;Bhutan;Thimphu;Azië;
61;What is the capital of;Brunei;Bandar Seri Begawan;Azië;
62;What is the capital of;Cambodia;Phnom Penh;Azië;
63;What is the capital of;China;Beijing;Azië;true
64;What is the capital of;Cyprus;Nicosia;Azië;
65;What is the capital of;The Philippines;Manila;Azië;
66;What is the capital of;Georgia;Tbilisi;Azië;
67;What is the capital of;India;New Delhi;Azië;
68;What is the capital of;Indonesia;Jakarta;Azië;
69;What is the capital of;Iraq;Baghdad;Azië;
70;What is the capital of;Iran;Tehran;Azië;
71;What is the capital of;Israel;Jerusalem;Azië;
72;What is the capital of;Japan;Tokyo;Azië;
73;What is the capital of;Yemen;Sana'a;Azië;
74;What is the capital of;Jordan;Amman;Azië;
75;What is the capital of;Kazakhstan;Astana;Azië;
76;What is the capital of;Kyrgyzstan;Bishkek;Azië;
77;What is the capital of;Kuwait;Kuwait City;Azië;
78;What is the capital of;Laos;Vientiane;Azië;
79;What is the capital of;Lebanon;Beirut;Azië;
80;What is the capital of;The Maldives;Malé;Azië;
81;What is the capital of;Malaysia;Kuala Lumpur;Azië;
82;What is the capital of;Mongolia;Ulaanbaatar;Azië;
83;What is the capital of;Myanmar;Nay Pyi Taw;Azië;
84;What is the capital of;Nepal;Kathmandu;Azië;
85;What is the capital of;North Korea;Pyongyang;Azië;
86;What is the capital of;Uzbekistan;Tashkent;Azië;true
87;What is the capital of;Oman;Muscat;Azië;
88;What is the capital of;East Timor;Dili;Azië;
89;What is the capital of;Pakistan;Islamabad;Azië;
90;What is the capital of;Palestine;Jerusalem (East);Azië;
91;What is the capital of;Qatar;Doha;Azië;
92;What is the capital of;Saudi Arabia;Riyadh;Azië;
93;What is the capital of;Singapore;Singapore;Azië;
94;What is the capital of;Sri Lanka;Sri Jayewardenapura Kotte;Azië;
95;What is the capital of;Syria;Damascus;Azië;
96;What is the capital of;Tajikistan;Dushanbe;Azië;
97;What is the capital of;Taiwan;Taipei;Azië;
98;What is the capital of;Thailand;Bangkok;Azië;true
99;What is the capital of;Turkey;Ankara;Azië;
100;What is the capital of;Turkmenistan;Ashgabat;Azië;
101;What is the capital of;The United Arab Emirates;Abu Dhabi;Azië;
102;What is the capital of;Vietnam;Hanoi;Azië;
103;What is the capital of;South Korea;Seoul;Azië;
104;What is the capital of;Antigua and Barbuda;Saint John's;Noord- en Midden-Amerika;
105;What is the capital of;Albania;Tirana;Europa;
106;What is the capital of;Andorra;Andorra la Vella;Europa;true
107;What is the capital of;Belgium;Brussels;Europa;
108;What is the capital of;Bosnia and Herzegovina;Sarajevo;Europa;
109;What is the capital of;Bulgaria;Sofia;Europa;
110;What is the capital of;Denmark;Copenhagen;Europa;
111;What is the capital of;Germany;Berlin;Europa;
112;What is the capital of;Estonia;Tallinn;Europa;
113;What is the capital of;Finland;Helsinki;Europa;
114;What is the capital of;France;Paris;Europa;true
115;What is the capital of;Greece;Athens;Europa;
116;What is the capital of;Hungary;Budapest;Europa;
117;What is the capital of;Ireland;Dublin;Europa;
118;What is the capital of;Iceland;Reykjavik;Europa;
119;What is the capital of;Italy;Rome;Europa;
120;What is the capital of;Kosovo;Pristina;Europa;
121;What is the capital of;Croatia;Zagreb;Europa;true
122;What is the capital of;Latvia;Riga;Europa;
123;What is the capital of;Liechtenstein;Vaduz;Europa;
124;What is the capital of;Lithuania;Vilnius;Europa;
125;What is the capital of;Luxembourg;Luxembourg;Europa;
126;What is the capital of;Macedonia;Skopje;Europa;
127;What is the capital of;Malta;Valletta;Europa;
128;What is the capital of;Moldova;Chisinau;Europa;
129;What is the capital of;Monaco;Monaco;Europa;
130;What is the capital of;Montenegro;Podgorica;Europa;
131;What is the capital of;The Netherlands;Amsterdam;Europa;
132;What is the capital of;Norway;Oslo;Europa;
133;What is the capital of;Ukraine;Kiev;Europa;
134;What is the capital of;Austria;Vienna;Europa;
135;What is the capital of;Poland;Warsaw;Europa;
136;What is the capital of;Portugal;Lisbon;Europa;
137;What is the capital of;Romania;Bucharest;Europa;
138;What is the capital of;Russia;Moscow;Europa;
139;What is the capital of;San Marino;San Marino;Europa;
140;What is the capital of;Serbia;Belgrade;Europa;
141;What is the capital of;Slovenia;Ljubljana;Europa;
142;What is the capital of;Slovakia;Bratislava;Europa;
143;What is the capital of;Spain;Madrid;Europa;
144;What is the capital of;The Czech Republic;Prague;Europa;
145;What is the capital of;Turkey;Ankara;Europa;
146;What is the capital of;Vatican City;Vatican City;Europa;
147;What is the capital of;The United Kingdom;London;Europa;
148;What is the capital of;Belarus;Minsk;Europa;
149;What is the capital of;Sweden;Stockholm;Europa;
150;What is the capital of;Switzerland;Bern;Europa;
151;What is the capital of;The Bahamas;Nassau;Noord- en Midden-Amerika;
152;What is the capital of;Barbados;Bridgetown;Noord- en Midden-Amerika;
153;What is the capital of;Belize;Belmopan;Noord- en Midden-Amerika;
154;What is the capital of;Canada;Ottawa;Noord- en Midden-Amerika;
155;What is the capital of;Costa Rica;San José;Noord- en Midden-Amerika;
156;What is the capital of;Cuba;Havana;Noord- en Midden-Amerika;
157;What is the capital of;Dominica;Roseau;Noord- en Midden-Amerika;
158;What is the capital of;The Dominican Republic;Santo Domingo;Noord- en Midden-Amerika;
159;What is the capital of;El Salvador;San Salvador;Noord- en Midden-Amerika;
160;What is the capital of;Grenada;Saint George's;Noord- en Midden-Amerika;
161;What is the capital of;Guatemala;Guatemala City;Noord- en Midden-Amerika;
162;What is the capital of;Haiti;Port-au-Prince;Noord- en Midden-Amerika;
163;What is the capital of;Honduras;Tegucigalpa;Noord- en Midden-Amerika;
164;What is the capital of;Jamaica;Kingston;Noord- en Midden-Amerika;
165;What is the capital of;Mexico;Mexico City;Noord- en Midden-Amerika;
166;What is the capital of;Nicaragua;Managua;Noord- en Midden-Amerika;
167;What is the capital of;Panama;Panama City;Noord- en Midden-Amerika;
168;What is the capital of;Saint Kitts and Nevis;Basseterre;Noord- en Midden-Amerika;
169;What is the capital of;Saint Lucia;Castries;Noord- en Midden-Amerika;
170;What is the capital of;Saint Vincent and the Grenadines;Kingstown;Noord- en Midden-Amerika;
171;What is the capital of;Trinidad and Tobago;Port of Spain;Noord- en Midden-Amerika;
