ID;Questions;Answer_A;Image;Werelddeel;Asked
1;This is the flag of...?;Algeria;Algerije.png;Afrika;
2;This is the flag of...?;Angola;Angola.png;Afrika;
3;This is the flag of...?;The Sahrawi Arab Democratic Republic;Arabische Democratische Republiek Sahara.png;Afrika;
4;This is the flag of...?;Benin;Benin.png;Afrika;
5;This is the flag of...?;Botswana;Botswana.png;Afrika;
6;This is the flag of...?;Burkina Faso;Burkina Faso.png;Afrika;
7;This is the flag of...?;Burundi;Burundi.png;Afrika;
8;This is the flag of...?;The Central African Republic;Centraal-Afrikaanse Republiek.png;Afrika;
9;This is the flag of...?;The Comoros;Comoren.png;Afrika;
10;This is the flag of...?;The Democratic Republic of the Congo;Democratische Republiek Congo.png;Afrika;
11;This is the flag of...?;Djibouti;Djibouti.png;Afrika;
12;This is the flag of...?;Egypt;Egypte.png;Afrika;
13;This is the flag of...?;Equatorial Guinea;Equatoriaal-Guinea.png;Afrika;
14;This is the flag of...?;Eritrea;Eritrea.png;Afrika;
15;This is the flag of...?;Ethiopia;Ethiopie.png;Afrika;
16;This is the flag of...?;Gabon;Gabon.png;Afrika;
17;This is the flag of...?;Gambia;Gambia.png;Afrika;
18;This is the flag of...?;Ghana;Ghana.png;Afrika;
19;This is the flag of...?;Guinea;Guinea.png;Afrika;
20;This is the flag of...?;Guinea-Bissau;Guinee-Bissau.png;Afrika;
21;This is the flag of...?;Ivory Coast;Ivoorkust.png;Afrika;
22;This is the flag of...?;Cape Verde;Kaapverdie.png;Afrika;
23;This is the flag of...?;Cameroon;Kameroen.png;Afrika;
24;This is the flag of...?;Kenya;Kenia.png;Afrika;
25;This is the flag of...?;Lesotho;Lesotho.png;Afrika;
26;This is the flag of...?;Liberia;Liberia.png;Afrika;
27;This is the flag of...?;Libya;LibieÌˆ.png;Afrika;
28;This is the flag of...?;Madagascar;Madagascar.png;Afrika;
29;This is the flag of...?;Malawi;Malawi.png;Afrika;
30;This is the flag of...?;Mali;Mali.png;Afrika;
31;This is the flag of...?;Mauritania;Mauritanie.png;Afrika;
32;This is the flag of...?;Mauritius;Mauritius.png;Afrika;
33;This is the flag of...?;Mozambique;Mozambique.png;Afrika;
34;This is the flag of...?;Namibia;Namibie.png;Afrika;
35;This is the flag of...?;Niger;Niger.png;Afrika;
36;This is the flag of...?;The Republic of the Congo;Republiek Congo.png;Afrika;
37;This is the flag of...?;Rwanda;Rwanda.png;Afrika;
38;This is the flag of...?;São Tomé and Principe;Sao Tome en Principe.png;Afrika;
39;This is the flag of...?;Senegal;Senegal.png;Afrika;
40;This is the flag of...?;The Seychelles;Seychellen.png;Afrika;
41;This is the flag of...?;Sierra Leone;Sierra Leone.png;Afrika;
42;This is the flag of...?;Somalia;Somalie.png;Afrika;
43;This is the flag of...?;South Sudan;South Sudan.png;Afrika;
44;This is the flag of...?;Sudan;Sudan.png;Afrika;
45;This is the flag of...?;Swaziland;Swaziland.png;Afrika;
46;This is the flag of...?;Tanzania;Tanzania.png;Afrika;
47;This is the flag of...?;Togo;Togo.png;Afrika;
48;This is the flag of...?;Chad;Tsjaad.png;Afrika;
49;This is the flag of...?;Tunisia;Tunisia.png;Afrika;
50;This is the flag of...?;Uganda;Uganda.png;Afrika;
51;This is the flag of...?;Zambia;Zambia.png;Afrika;
52;This is the flag of...?;Zanzibar;Zanzibar.png;Afrika;
53;This is the flag of...?;Zimbabwe;Zimbabwe.png;Afrika;
54;This is the flag of...?;South Africa;Zuid-Afrika.png;Afrika;
55;This is the flag of...?;Afghanistan;Afghanistan.png;Azië;
56;This is the flag of...?;Armenia;Armenie.png;Azië;
57;This is the flag of...?;Australia;Australie.png;Azië;
58;This is the flag of...?;Azerbaijan;Azerbeidzjan.png;Azië;
59;This is the flag of...?;Bangladesh;Bangladesh.png;Azië;
60;This is the flag of...?;Bhutan;Bhutan.png;Azië;
61;This is the flag of...?;Brunei;Brunei.png;Azië;
62;This is the flag of...?;Cambodia;Cambodja.png;Azië;
63;This is the flag of...?;China;China.png;Azië;
64;This is the flag of...?;The Philippines;Filipijnen.png;Azië;
65;This is the flag of...?;Georgia;Georgie.png;Azië;
66;This is the flag of...?;Hong Kong;Hongkong.png;Azië;
67;This is the flag of...?;India;India.png;Azië;
68;This is the flag of...?;Indonesia;Indonesie.png;Azië;
69;This is the flag of...?;Iraq;Irak.png;Azië;
70;This is the flag of...?;Iran;Iran.png;Azië;
71;This is the flag of...?;Israel;Israel.png;Azië;
72;This is the flag of...?;Japan;Japan.png;Azië;
73;This is the flag of...?;Jordan;Jordanie.png;Azië;
74;This is the flag of...?;Kazakhstan;Kazachstan.png;Azië;
75;This is the flag of...?;Kyrgyzstan;Kirgizie.png;Azië;
76;This is the flag of...?;Kuwait;Koeweit.png;Azië;
77;This is the flag of...?;Laos;Laos.png;Azië;
78;This is the flag of...?;Lebanon;Libanon.png;Azië;
79;This is the flag of...?;Macau;Macau.png;Azië;
80;This is the flag of...?;The Maldives;Maladiven.png;Azië;
81;This is the flag of...?;Malaysia;Maleisie.png;Azië;
82;This is the flag of...?;Mongolia;Mongolie.png;Azië;
83;This is the flag of...?;Myanmar;Myanmar.png;Azië;
84;This is the flag of...?;Nepal;Nepal.png;Azië;
85;This is the flag of...?;New Zealand;Nieuw-Zeeland.png;Azië;
86;This is the flag of...?;North Korea;Noord-Korea.png;Azië;
87;This is the flag of...?;Oman;Oman.png;Azië;
88;This is the flag of...?;East Timor;Oost-Timor.png;Azië;
89;This is the flag of...?;Pakistan;Pakistan.png;Azië;
90;This is the flag of...?;Palestine;Palestina.png;Azië;
91;This is the flag of...?;Qatar;Qatar.png;Azië;
92;This is the flag of...?;Russia;Rusland.png;Azië;
93;This is the flag of...?;Saudi Arabia;Saudi Arabie.png;Azië;
94;This is the flag of...?;Singapore;Singapore.png;Azië;
95;This is the flag of...?;Sri Lanka;Sri Lanka.png;Azië;
96;This is the flag of...?;Syria;Syrie.png;Azië;
97;This is the flag of...?;Tajikistan;Tadzjikistan.png;Azië;
98;This is the flag of...?;Thailand;Thailand.png;Azië;
99;This is the flag of...?;Tibet;Tibet.png;Azië;
100;This is the flag of...?;Turkey;Turkey.png;Azië;
101;This is the flag of...?;Turkmenistan;Turkmenistan.png;Azië;
102;This is the flag of...?;Uzbekistan;Uzbekistan.png;Azië;
103;This is the flag of...?;The United Arab Emirates;Verenigde Arabische Emiraten.png;Azië;
104;This is the flag of...?;Vietnam;Vietnam.png;Azië;
105;This is the flag of...?;Yemen;Yemen.png;Azië;
106;This is the flag of...?;South Korea;Zuid-Korea.png;Azië;
107;This is the flag of...?;Albania;Albanie.png;Europa;
108;This is the flag of...?;Andorra;Andorra.png;Europa;
109;This is the flag of...?;Armenia;Armenie.png;Europa;
110;This is the flag of...?;Azerbaijan;Azerbeidzjan.png;Europa;
111;This is the flag of...?;Belarus;Belarus.png;Europa;
112;This is the flag of...?;Belgium;Belgie.png;Europa;
113;This is the flag of...?;Bosnia and Herzegovina;Bosnie en Herzegovina.png;Europa;
114;This is the flag of...?;Bulgaria;Bulgarie.png;Europa;
115;This is the flag of...?;Cyprus;Cyprus.png;Europa;
116;This is the flag of...?;Denmark;Denemarken.png;Europa;
117;This is the flag of...?;Germany;Duitsland.png;Europa;
118;This is the flag of...?;Estonia;Estland.png;Europa;
119;This is the flag of...?;Finland;Finland.png;Europa;
120;This is the flag of...?;France;Frankrijk.png;Europa;
121;This is the flag of...?;Georgia;Georgie.png;Europa;
122;This is the flag of...?;Greece;Griekenland.png;Europa;
123;This is the flag of...?;Hungary;Hungarije.png;Europa;
124;This is the flag of...?;Iceland;IJsland.png;Europa;
125;This is the flag of...?;Ireland;Ierland.png;Europa;
126;This is the flag of...?;Italy;Italie.png;Europa;
127;This is the flag of...?;Croatia;Kroatie.png;Europa;
128;This is the flag of...?;Latvia;Letland.png;Europa;
129;This is the flag of...?;Liechtenstein;Liechtenstein.png;Europa;
130;This is the flag of...?;Lithuania;Litouwen.png;Europa;
131;This is the flag of...?;Luxembourg;Luxemburg.png;Europa;
132;This is the flag of...?;Macedonia;Macedonia.png;Europa;
133;This is the flag of...?;Malta;Malta.png;Europa;
134;This is the flag of...?;Moldova;Moldavie.png;Europa;
135;This is the flag of...?;Monaco;Monaco.png;Europa;
136;This is the flag of...?;Montenegro;Montenegro.png;Europa;
137;This is the flag of...?;The Netherlands;Nederland.png;Europa;
138;This is the flag of...?;Norway;Noorwegen.png;Europa;
139;This is the flag of...?;Ukraine;Oekraine.png;Europa;
140;This is the flag of...?;Austria;Oostenrijk.png;Europa;
141;This is the flag of...?;Poland;Polen.png;Europa;
142;This is the flag of...?;Portugal;Portugal.png;Europa;
143;This is the flag of...?;Romania;Roemenie.png;Europa;
144;This is the flag of...?;Russia;Rusland.png;Europa;
145;This is the flag of...?;San Marino;San Marino.png;Europa;
146;This is the flag of...?;Serbia;Servie.png;Europa;
147;This is the flag of...?;Slovenia;Slovenie.png;Europa;
148;This is the flag of...?;Slovakia;Slowakijke.png;Europa;
149;This is the flag of...?;Spain;Spanje.png;Europa;
150;This is the flag of...?;The Czech Republic;Tsjechie.png;Europa;
151;This is the flag of...?;Turkey;Turkije.png;Europa;
152;This is the flag of...?;Vatican City;Vaticaanstad.png;Europa;
153;This is the flag of...?;The United Kingdom;Verenigd Koninkrijk.png;Europa;
154;This is the flag of...?;Sweden;Zweden.png;Europa;
155;This is the flag of...?;Switzerland;Zwitserland.png;Europa;
156;This is the flag of...?;Belize;Belize.png;Noord- en Midden-Amerika;
157;This is the flag of...?;Canada;Canada.png;Noord- en Midden-Amerika;
158;This is the flag of...?;Costa Rica;Costa Rica.png;Noord- en Midden-Amerika;
159;This is the flag of...?;The Dominic Republic;Dominicaanse Republiek.png;Noord- en Midden-Amerika;
160;This is the flag of...?;El Salvador;El Salvador.png;Noord- en Midden-Amerika;
161;This is the flag of...?;Guatemala;Guatemala.png;Noord- en Midden-Amerika;
162;This is the flag of...?;Haiti;Haiti.png;Noord- en Midden-Amerika;
163;This is the flag of...?;Honduras;Honduras.png;Noord- en Midden-Amerika;
164;This is the flag of...?;Jamaica;Jamaica.png;Noord- en Midden-Amerika;
165;This is the flag of...?;Mexico;Mexico.png;Noord- en Midden-Amerika;
166;This is the flag of...?;Nicaragua;Nicaragua.png;Noord- en Midden-Amerika;
167;This is the flag of...?;Panama;Panama.png;Noord- en Midden-Amerika;
168;This is the flag of...?;The United States;Verenigde Staten.png;Noord- en Midden-Amerika;
169;This is the flag of...?;Argentina;Argentinie.png;Zuid-Amerika;
170;This is the flag of...?;Bolivia;Bolivia.png;Zuid-Amerika;
171;This is the flag of...?;Brazil;Brazilie.png;Zuid-Amerika;
172;This is the flag of...?;Chile;Chili.png;Zuid-Amerika;
173;This is the flag of...?;Colombia;Colombia.png;Zuid-Amerika;
174;This is the flag of...?;Ecuador;Ecuador.png;Zuid-Amerika;
175;This is the flag of...?;Guyana;Guyana.png;Zuid-Amerika;
