ID;Vragen;Antwoord_A;Afbeelding;Werelddeel;Asked
1;Dit is de vlag van...?;Algerije;Algerije.png;Afrika;
2;Dit is de vlag van...?;Angola;Angola.png;Afrika;
3;Dit is de vlag van...?;de Arabische Democratische Republiek Sahara;Arabische Democratische Republiek Sahara.png;Afrika;
4;Dit is de vlag van...?;Benin;Benin.png;Afrika;
5;Dit is de vlag van...?;Botswana;Botswana.png;Afrika;
6;Dit is de vlag van...?;Burkina Faso;Burkina Faso.png;Afrika;
7;Dit is de vlag van...?;Burundi;Burundi.png;Afrika;
8;Dit is de vlag van...?;de Centraal-Afrikaanse Republiek;Centraal-Afrikaanse Republiek.png;Afrika;
9;Dit is de vlag van...?;de Comoren;Comoren.png;Afrika;
10;Dit is de vlag van...?;de Democratische Republiek Congo;Democratische Republiek Congo.png;Afrika;
11;Dit is de vlag van...?;Djibouti;Djibouti.png;Afrika;
12;Dit is de vlag van...?;Egypte;Egypte.png;Afrika;
13;Dit is de vlag van...?;Equatoriaal-Guinea;Equatoriaal-Guinea.png;Afrika;
14;Dit is de vlag van...?;Eritrea;Eritrea.png;Afrika;
15;Dit is de vlag van...?;Ethiopië;Ethiopie.png;Afrika;
16;Dit is de vlag van...?;Gabon;Gabon.png;Afrika;
17;Dit is de vlag van...?;Gambia;Gambia.png;Afrika;
18;Dit is de vlag van...?;Ghana;Ghana.png;Afrika;
19;Dit is de vlag van...?;Guinea;Guinea.png;Afrika;
20;Dit is de vlag van...?;Guinee-Bissau;Guinee-Bissau.png;Afrika;
21;Dit is de vlag van...?;Ivoorkust;Ivoorkust.png;Afrika;
22;Dit is de vlag van...?;Kaapverdië;Kaapverdie.png;Afrika;
23;Dit is de vlag van...?;Kameroen;Kameroen.png;Afrika;
24;Dit is de vlag van...?;Kenia;Kenia.png;Afrika;
25;Dit is de vlag van...?;Lesotho;Lesotho.png;Afrika;
26;Dit is de vlag van...?;Liberië;Liberia.png;Afrika;
27;Dit is de vlag van...?;Libië;Libië.png;Afrika;
28;Dit is de vlag van...?;Madagascar;Madagascar.png;Afrika;
29;Dit is de vlag van...?;Malawi;Malawi.png;Afrika;
30;Dit is de vlag van...?;Mali;Mali.png;Afrika;
31;Dit is de vlag van...?;Mauritanië;Mauritanie.png;Afrika;
32;Dit is de vlag van...?;Mauritius;Mauritius.png;Afrika;
33;Dit is de vlag van...?;Mozambique;Mozambique.png;Afrika;
34;Dit is de vlag van...?;Namibië;Namibie.png;Afrika;
35;Dit is de vlag van...?;Niger;Niger.png;Afrika;
36;Dit is de vlag van...?;Congo-Brazzaville;Republiek Congo.png;Afrika;
37;Dit is de vlag van...?;Rwanda;Rwanda.png;Afrika;
38;Dit is de vlag van...?;Sao Tomé en Principe;Sao Tome en Principe.png;Afrika;
39;Dit is de vlag van...?;Senegal;Senegal.png;Afrika;
40;Dit is de vlag van...?;de Seychellen;Seychellen.png;Afrika;
41;Dit is de vlag van...?;Sierra Leone;Sierra Leone.png;Afrika;
42;Dit is de vlag van...?;Somalië;Somalie.png;Afrika;
43;Dit is de vlag van...?;Zuid-Soedan;South Sudan.png;Afrika;
44;Dit is de vlag van...?;Soedan;Sudan.png;Afrika;
45;Dit is de vlag van...?;Swaziland;Swaziland.png;Afrika;
46;Dit is de vlag van...?;Tanzania;Tanzania.png;Afrika;
47;Dit is de vlag van...?;Togo;Togo.png;Afrika;
48;Dit is de vlag van...?;Tsjaad;Tsjaad.png;Afrika;
49;Dit is de vlag van...?;Tunesië;Tunisia.png;Afrika;
50;Dit is de vlag van...?;Oeganda;Uganda.png;Afrika;
51;Dit is de vlag van...?;Zambia;Zambia.png;Afrika;
52;Dit is de vlag van...?;Zanzibar;Zanzibar.png;Afrika;
53;Dit is de vlag van...?;Zimbabwe;Zimbabwe.png;Afrika;
